state,GunMurderPercentage,GunMurdersPer100000,MurdersPer100000
Alabama,69.32018316,6.214776765,8.984546561
Alaska,59.67841682,4.938441126,8.142405892
Arizona,68.64268511,5.426377218,8.046414358
Arkansas,70.07341298,5.503833649,7.844319087
California,68.41846808,6.257838688,9.239339146
Colorado,56.65099348,2.772752468,4.9339662
Connecticut,62.52042484,2.623407282,4.2050069
Delaware,58.71794872,2.592654099,4.591951299
District of Columbia,75.10542592,32.06668573,42.51572686
Florida,63.13806743,5.711222253,9.075257949
Georgia,69.06771624,5.560512114,8.116806916
Hawaii,37.07025411,1.252600734,3.355644667
Idaho,57.73913043,1.60266957,2.757174378
Illinois,68.93046268,4.254681764,6.198249828
Indiana,70.75809125,3.912989812,5.539642576
Iowa,49.22813036,0.872209144,1.770337471
Kansas,60.48622366,2.47487964,4.095806873
Kentucky,68.50778151,3.377762513,4.921749229
Louisiana,76.23923786,9.747735217,12.79188547
Maine,53.48027842,1.150833793,2.168163978
Maryland,69.40850277,6.725833265,9.749623176
Massachusetts,51.09343936,1.420346506,2.795973762
Michigan,68.34575366,5.800716822,8.49917461
Minnesota,52.65408805,1.262478106,2.411527344
Mississippi,71.08157654,4.862256597,6.846883188
Missouri,68.26456311,5.325181303,7.829121531
Montana,59.4639866,1.431181863,2.392618367
Nebraska,56.87453043,1.284911956,2.269187257
Nevada,61.19214839,5.979503692,9.872155351
New Hampshire,45.19083969,0.780125783,1.703844006
New Jersey,54.50042457,2.689589078,4.994260249
New Mexico,57.16963449,4.187124748,7.336911905
New York,61.89615978,4.772767444,7.706353478
North Carolina,64.75232957,5.088742129,7.855384528
North Dakota,47.72727273,0.676915768,1.333848552
Ohio,62.76751227,3.086777016,4.919646267
Oklahoma,63.15132251,4.724257022,7.485735513
Oregon,55.53711169,2.15648084,3.894327906
Pennsylvania,66.61990427,3.77833768,5.685329712
Rhode Island,50.78447564,1.731144978,3.423718864
South Carolina,67.74662335,5.925415122,8.782719143
South Dakota,42.08144796,0.729748217,1.679417366
Tennessee,68.69390489,5.453535954,7.914221017
Texas,67.14389242,6.381856059,9.503870443
Utah,53.51697,1.506508937,2.835896205
Vermont,55.58252427,1.162784092,2.023013138
Virginia,68.08634021,4.553702213,6.696948098
Washington,56.44273832,2.328309933,4.162237628
West Virginia,65.17477948,3.088205946,4.741300755
Wisconsin,60.26490066,2.102719533,3.504715829
Wyoming,55.23809524,2.002792139,3.620755059
